ecg,Rrvalues
-1.3684,0.667
-1.3669,0.675
-1.3548,0.682
-1.3651,0.684
-1.3707,0.705
-1.3681,0.709
-1.3618,0.72
-1.352,0.715
-1.3459,0.69
-1.3543,0.68
-1.3532,0.689
-1.3655,0.682
-1.3661,0.68
-1.369,0.661
-1.3697,0.658
-1.3454,0.664
-1.3443,0.662
-1.3564,0.649
-1.3575,0.636
-1.3678,0.621
-1.3563,0.617
-1.368,0.637
-1.3734,0.64
-1.3573,0.63
-1.3524,0.639
-1.3508,0.667
-1.3734,0.667
-1.3693,0.681
-1.3727,0.691
-1.3659,0.671
-1.3651,0.667
-1.376,0.682
-1.3797,0.673
-1.3863,0.655
-1.3911,0.672
-1.372,0.654
-1.372,0.651
-1.364,0.665
-1.3835,0.672
-1.3819,0.672
-1.3667,0.677
-1.3606,0.661
-1.3396,0.678
-1.3668,0.675
-1.3787,0.695
-1.3729,0.68
-1.3813,0.669
-1.3641,0.672
-1.361,0.647
-1.3685,0.669
-1.3658,0.682
-1.3742,0.688
-1.3791,0.691
-1.3738,0.684
-1.3719,0.683
-1.3593,0.687
-1.3552,0.691
-1.361,0.68
-1.3556,0.685
-1.3692,0.668
-1.3664,0.665
-1.364,0.657
-1.3691,0.666
-1.3585,0.677
-1.3783,0.682
-1.3693,0.66
-1.3701,0.686
-1.3791,0.684
-1.3686,0.696
-1.3756,0.699
-1.3727,0.716
-1.3701,0.691
-1.3753,0.706
-1.3658,0.7
-1.3514,0.703
-1.3539,0.694
-1.3527,0.691
-1.3691,0.681
-1.3789,0.66
-1.3633,0.647
-1.3664,0.643
-1.3519,0.635
-1.3644,0.641
-1.3635,0.68
-1.3709,0.662
-1.3732,0.648
-1.356,0.634
-1.3648,0.686
-1.3552,0.661
-1.3595,0.68
-1.3571,0.683
-1.3559,0.671
-1.3673,0.675
-1.3563,0.676
-1.3685,0.654
-1.3733,0.634
-1.3748,0.624
-1.3719,0.601
-1.3602,0.612
-1.3692,0.648
-1.3901,0.686
-1.3915,0.657
-1.3935,0.687
-1.3712,0.672
-1.3713,0.674
-1.3666,0.666
-1.3352,0.641
-1.3472,0.637
-1.3367,0.645
-1.3652,0.652
-1.3864,0.655
-1.3871,0.667
-1.3692,0.669
-1.3561,0.663
-1.3615,0.651
-1.3534,0.648
-1.3625,0.637
-1.3649,0.649
-1.3718,0.657
-1.3802,0.661
-1.3675,0.649
-1.3739,0.663
-1.3736,0.637
-1.3629,0.647
-1.3736,0.656
-1.371,0.671
-1.3944,0.648
-1.3845,0.674
-1.3779,0.641
-1.3632,0.669
-1.3587,0.664
-1.3641,0.679
-1.3737,0.689
-1.3779,0.694
-1.3792,0.689
-1.3668,0.689
-1.3726,0.693
-1.3745,0.701
-1.3639,0.691
-1.3751,0.68
-1.3617,0.674
-1.3583,0.642
-1.3663,0.67
-1.3688,0.671
-1.382,0.699
-1.3842,0.714
-1.3592,0.707
-1.3566,0.706
-1.3644,0.73
-1.3825,0.737
-1.3758,0.698
-1.3578,0.676
-1.3606,0.648
-1.3682,0.631
-1.3589,0.636
-1.3647,0.651
-1.3629,0.663
-1.3738,0.671
-1.3749,0.684
-1.3754,0.666
-1.3649,0.673
-1.3553,0.668
-1.3798,0.664
-1.3993,0.665
-1.3778,0.662
-1.3803,0.661
-1.3658,0.68
-1.3539,0.68
-1.3489,0.679
-1.3501,0.69
-1.3712,0.687
-1.3759,0.681
-1.3866,0.657
-1.3751,0.668
-1.352,0.656
-1.355,0.658
-1.3483,0.669
-1.3644,0.66
-1.3698,0.685
-1.3689,0.698
-1.3704,0.708
-1.3712,0.728
-1.3792,0.746
-1.3947,0.72
-1.3839,0.737
-1.3596,0.727
-1.3727,0.707
-1.3725,0.688
-1.3778,0.701
-1.3797,0.688
-1.3551,0.688
-1.3556,0.715
-1.3641,0.742
-1.3719,0.744
-1.3897,0.733
-1.3778,0.739
-1.3717,0.738
-1.3752,0.711
-1.3594,0.718
-1.3667,0.705
-1.3765,0.693
-1.37,0.681
-1.3717,0.681
-1.362,0.675
-1.3481,0.684
-1.3625,0.684
-1.3641,0.674
-1.3886,0.673
-1.3954,0.664
-1.3761,0.66
-1.3723,0.671
-1.3637,0.674
-1.3541,0.684
-1.3684,0.682
-1.3591,0.699
-1.3722,0.699
-1.3731,0.714
-1.3744,0.726
-1.3801,0.724
-1.3694,0.704
-1.3663,0.684
-1.3598,0.681
-1.3484,0.685
-1.3626,0.682
-1.3699,0.691
-1.3692,0.676
-1.3734,0.695
-1.3605,0.712
-1.3526,0.725
-1.3609,0.743
-1.3679,0.75
-1.3666,0.722
-1.3689,0.715
-1.342,0.668
-1.3444,0.676
-1.3597,0.684
-1.361,0.687
-1.3761,0.673
-1.3729,0.708
-1.3751,0.7
-1.3664,0.703
-1.3371,0.739
-1.3549,0.773
-1.3755,0.753
-1.3688,0.749
-1.3743,0.747
-1.3744,0.735
-1.3571,0.734
-1.3548,0.722
-1.3703,0.71
-1.3769,0.691
-1.3876,0.691
-1.3961,0.682
-1.375,0.683
-1.3763,0.714
-1.365,0.74
-1.3651,0.775
-1.3703,0.747
-1.3695,0.763
-1.3607,0.738
-1.3652,0.74
-1.3704,0.723
-1.3682,0.71
-1.3768,0.695
-1.3794,0.685
-1.3748,0.689
-1.3711,0.668
-1.3629,0.656
-1.3799,0.648
-1.3849,0.642
-1.3821,0.659
-1.3782,0.681
-1.36,0.72
-1.3777,0.738
-1.3863,0.771
-1.3641,0.733
-1.3648,0.715
-1.3534,0.684
-1.3501,0.683
-1.3675,0.682
-1.3698,0.652
-1.3649,0.663
-1.3689,0.668
-1.3731,0.67
-1.3766,0.687
-1.3664,0.656
-1.3659,0.67
-1.365,0.662
-1.3675,0.678
-1.381,0.679
-1.3755,0.689
-1.3781,0.669
-1.3852,0.662
-1.3597,0.675
-1.369,0.657
-1.371,0.668
-1.3777,0.688
-1.3764,0.678
-1.3657,0.682
-1.3799,0.672
-1.3679,0.701
-1.3661,0.69
-1.3735,0.704
-1.3632,0.724
-1.3678,0.698
-1.3706,0.694
-1.3582,0.711
-1.3741,0.682
-1.3806,0.681
-1.3717,0.684
-1.3666,0.666
-1.3536,0.659
-1.3618,0.67
-1.3683,0.709
-1.3716,0.726
-1.3675,0.755
-1.357,0.738
-1.3528,0.726
-1.3616,0.731
-1.3692,0.717
-1.3708,0.702
-1.3848,0.692
-1.3796,0.68
-1.3731,0.677
-1.3675,0.655
-1.3554,0.641
-1.3701,0.661
-1.3686,0.696
-1.3668,0.682
-1.3788,0.701
-1.3671,0.691
-1.3627,0.722
-1.37,0.715
-1.3566,0.699
-1.3682,0.696
-1.3745,0.671
-1.3766,0.66
-1.3633,0.637
-1.3486,0.671
-1.3676,0.669
-1.3588,0.704
-1.3646,0.716
-1.3777,0.706
-1.3606,0.739
-1.3653,0.736
-1.3679,0.723
-1.3539,0.711
-1.3618,0.695
-1.3637,0.668
-1.3515,0.667
-1.3684,0.678
-1.3803,0.667
-1.3849,0.674
-1.3673,0.684
-1.3489,0.674
-1.3599,0.642
-1.3609,0.643
-1.3744,0.7
-1.3845,0.709
-1.3646,0.717
-1.3658,0.72
-1.3461,0.735
-1.3481,0.741
-1.3752,0.71
-1.3781,0.697
-1.3691,0.683
-1.3747,0.647
-1.3603,0.641
-1.3657,0.655
-1.3662,0.685
-1.361,0.717
-1.3617,0.73
-1.3663,0.756
-1.3676,0.774
-1.3792,0.783
-1.3818,0.782
-1.3644,0.742
-1.3666,0.711
-1.3666,0.71
-1.3655,0.708
-1.3831,0.67
-1.3837,0.674
-1.3774,0.667
-1.3659,0.682
-1.3505,0.688
-1.3707,0.725
-1.382,0.754
-1.3824,0.769
-1.3747,0.765
-1.368,0.741
-1.3562,0.748
-1.3663,0.714
-1.3705,0.673
-1.3617,0.664
-1.3755,0.64
-1.3684,0.614
-1.3748,0.63
-1.3597,0.627
-1.3578,0.661
-1.3557,0.689
-1.3233,0.716
-1.3667,0.737
-1.3896,0.762
-1.3629,0.744
-1.3498,0.719
-1.3344,0.702
-1.3346,0.687
-1.3688,0.655
-1.3812,0.638
-1.398,0.637
-1.3914,0.659
-1.3683,0.67
-1.3605,0.687
-1.3636,0.724
-1.372,0.743
-1.3696,0.75
-1.353,0.736
-1.3499,0.73
-1.3696,0.73
-1.384,0.707
-1.384,0.695
-1.3807,0.682
-1.3626,0.666
-1.366,0.645
-1.3725,0.649
-1.382,0.65
-1.3727,0.696
-1.3543,0.702
-1.3531,0.682
-1.3485,0.693
-1.3546,0.721
-1.3847,0.711
-1.3791,0.714
-1.3829,0.695
-1.3858,0.695
-1.3715,0.666
-1.3742,0.668
-1.3753,0.666
-1.3889,0.697
-1.3816,0.697
-1.36,0.705
-1.3648,0.692
-1.3635,0.693
-1.3563,0.692
-1.3707,0.705
-1.3763,0.711
-1.3848,0.715
-1.376,0.693
-1.3576,0.709
-1.3667,0.718
-1.3736,0.705
-1.3749,0.681
-1.3833,0.652
-1.3699,0.625
-1.3606,0.632
-1.3654,0.63
-1.3535,0.655
-1.3611,0.656
-1.3516,0.672
-1.357,0.709
-1.3689,0.719
-1.3753,0.707
-1.3931,0.696
-1.3885,0.696
-1.3734,0.67
-1.3657,0.653
-1.3551,0.66
-1.3847,0.677
-1.3865,0.68
-1.3797,0.666
