"ecg","Rrvalues"
"-1.3772","0.78"
"-1.3763","0.782"
"-1.3624","0.795"
"-1.3449","0.792"
"-1.3465","0.813"
"-1.3661","0.831"
"-1.3801","0.832"
"-1.3771","0.826"
"-1.3662","0.797"
"-1.3592","0.794"
"-1.3642","0.792"
"-1.3738","0.794"
"-1.3822","0.798"
"-1.3759","0.787"
"-1.359","0.788"
"-1.3504","0.809"
"-1.3658","0.819"
"-1.3687","0.834"
"-1.346","0.823"
"-1.3505","0.826"
"-1.3582","0.841"
"-1.364","0.823"
"-1.3653","0.826"
"-1.3696","0.779"
"-1.3613","0.785"
"-1.3697","0.776"
"-1.378","0.777"
"-1.3726","0.771"
"-1.3632","0.761"
"-1.344","0.76"
"-1.3471","0.776"
"-1.3613","0.789"
"-1.3747","0.787"
"-1.3842","0.794"
"-1.3764","0.798"
"-1.3821","0.801"
"-1.3738","0.828"
"-1.3599","0.818"
"-1.3652","0.835"
"-1.3684","0.854"
"-1.3642","0.854"
"-1.364","0.835"
"-1.3404","0.797"
"-1.344","0.792"
"-1.3701","0.789"
"-1.3698","0.791"
"-1.3594","0.804"
"-1.3634","0.826"
"-1.3644","0.866"
"-1.3595","0.885"
"-1.3676","0.862"
"-1.3673","0.84"
"-1.3574","0.813"
"-1.3709","0.785"
"-1.3759","0.786"
"-1.3776","0.771"
"-1.3921","0.762"
"-1.3819","0.742"
"-1.3792","0.73"
"-1.3601","0.737"
"-1.359","0.756"
"-1.3643","0.773"
"-1.3753","0.82"
"-1.3664","0.807"
"-1.3436","0.779"
"-1.3527","0.8"
"-1.3746","0.793"
"-1.3851","0.773"
"-1.3668","0.758"
"-1.3702","0.74"
"-1.3602","0.739"
"-1.3488","0.735"
"-1.375","0.762"
"-1.3957","0.773"
"-1.3823","0.793"
"-1.3781","0.798"
"-1.3867","0.792"
"-1.3828","0.809"
"-1.3875","0.824"
"-1.3829","0.825"
"-1.389","0.754"
"-1.3827","0.709"
"-1.3829","0.7"
"-1.3747","0.719"
"-1.3713","0.73"
"-1.3691","0.744"
"-1.3861","0.803"
"-1.3808","0.831"
"-1.3744","0.818"
"-1.3761","0.815"
"-1.3704","0.804"
"-1.3545","0.799"
"-1.3779","0.802"
"-1.374","0.784"
"-1.375","0.775"
"-1.3775","0.784"
"-1.3592","0.817"
"-1.3676","0.846"
"-1.3664","0.843"
"-1.3633","0.813"
"-1.3653","0.791"
"-1.3673","0.793"
"-1.3728","0.793"
"-1.3816","0.786"
"-1.3803","0.752"
"-1.3666","0.733"
"-1.3568","0.68"
"-1.3512","0.68"
"-1.3612","0.699"
"-1.3703","0.73"
"-1.3753","0.781"
"-1.3662","0.793"
"-1.3665","0.797"
"-1.3797","0.817"
"-1.3737","0.849"
"-1.3701","0.804"
"-1.3679","0.8"
"-1.3579","0.787"
"-1.3554","0.803"
"-1.3676","0.789"
"-1.3663","0.784"
"-1.3648","0.791"
"-1.3621","0.751"
"-1.3741","0.765"
"-1.3845","0.785"
"-1.378","0.794"
"-1.3753","0.784"
"-1.3711","0.787"
"-1.3742","0.775"
"-1.3805","0.825"
"-1.3845","0.834"
"-1.3855","0.814"
"-1.3695","0.805"
"-1.3655","0.777"
"-1.3748","0.813"
"-1.3829","0.839"
"-1.3659","0.876"
"-1.3685","0.838"
"-1.378","0.804"
"-1.3742","0.797"
"-1.3701","0.836"
"-1.3803","0.819"
"-1.3712","0.816"
"-1.3621","0.828"
"-1.3567","0.825"
"-1.3602","0.842"
"-1.362","0.846"
"-1.3788","0.856"
"-1.377","0.845"
"-1.3743","0.822"
"-1.3725","0.794"
"-1.3734","0.767"
"-1.3616","0.776"
"-1.3656","0.783"
"-1.3662","0.789"
"-1.3518","0.798"
"-1.3616","0.847"
"-1.3595","0.841"
"-1.3643","0.826"
"-1.3545","0.816"
"-1.3567","0.807"
"-1.3651","0.819"
"-1.3696","0.806"
"-1.3649","0.793"
"-1.361","0.772"
"-1.3694","0.774"
"-1.3725","0.786"
"-1.3726","0.784"
"-1.3643","0.786"
"-1.3657","0.776"
"-1.3584","0.781"
"-1.3761","0.803"
"-1.3769","0.792"
"-1.3617","0.726"
"-1.3658","0.717"
"-1.3674","0.733"
"-1.3619","0.764"
"-1.3583","0.791"
"-1.3618","0.835"
"-1.3787","0.845"
"-1.3741","0.842"
