"ecg","Rrvalues"
"-1.3776","0.67"
"-1.3608","0.674"
"-1.3653","0.679"
"-1.3534","0.708"
"-1.3737","0.728"
"-1.3893","0.747"
"-1.3787","0.759"
"-1.3782","0.745"
"-1.3669","0.724"
"-1.3478","0.724"
"-1.3492","0.736"
"-1.3664","0.741"
"-1.3747","0.771"
"-1.3775","0.771"
"-1.3731","0.76"
"-1.3616","0.757"
"-1.3443","0.79"
"-1.3581","0.787"
"-1.3636","0.772"
"-1.3543","0.766"
"-1.3574","0.728"
"-1.3625","0.734"
"-1.3574","0.757"
"-1.3707","0.749"
"-1.3751","0.782"
"-1.3637","0.762"
"-1.3593","0.751"
"-1.3589","0.76"
"-1.3753","0.789"
"-1.377","0.799"
"-1.3672","0.769"
"-1.3562","0.773"
"-1.3455","0.78"
"-1.3598","0.79"
"-1.3672","0.791"
"-1.371","0.771"
"-1.3629","0.758"
"-1.3526","0.742"
"-1.3464","0.75"
"-1.364","0.733"
"-1.374","0.747"
"-1.3591","0.75"
"-1.3565","0.759"
"-1.3526","0.763"
"-1.347","0.789"
"-1.3581","0.781"
"-1.3599","0.782"
"-1.3633","0.761"
"-1.3528","0.737"
"-1.3649","0.723"
"-1.3671","0.715"
"-1.3576","0.727"
"-1.3666","0.758"
"-1.3677","0.775"
"-1.3492","0.765"
"-1.3613","0.802"
"-1.3724","0.827"
"-1.3651","0.828"
"-1.3543","0.792"
"-1.3497","0.766"
"-1.3566","0.784"
"-1.3533","0.762"
"-1.363","0.762"
"-1.3652","0.729"
"-1.352","0.709"
"-1.3517","0.699"
"-1.3492","0.693"
"-1.35","0.723"
"-1.377","0.782"
"-1.3764","0.836"
"-1.3669","0.846"
"-1.362","0.8"
"-1.3626","0.774"
"-1.3483","0.758"
"-1.3526","0.751"
"-1.3645","0.756"
"-1.3698","0.73"
"-1.3568","0.721"
"-1.3599","0.714"
"-1.3648","0.734"
"-1.3518","0.759"
"-1.3461","0.78"
"-1.3576","0.809"
"-1.3631","0.836"
"-1.3794","0.869"
"-1.3819","0.88"
"-1.3754","0.884"
"-1.3614","0.852"
"-1.3619","0.811"
"-1.3646","0.765"
"-1.3685","0.769"
"-1.3558","0.773"
"-1.3648","0.788"
"-1.3559","0.844"
"-1.3597","0.888"
"-1.3574","0.874"
"-1.366","0.917"
"-1.3666","0.901"
"-1.3601","0.856"
"-1.3565","0.815"
"-1.3508","0.793"
"-1.3602","0.762"
"-1.3622","0.759"
"-1.3622","0.743"
"-1.3745","0.757"
"-1.3719","0.764"
"-1.3556","0.741"
"-1.3619","0.764"
"-1.3654","0.81"
"-1.3572","0.816"
"-1.3678","0.799"
"-1.3711","0.797"
"-1.3603","0.764"
"-1.3506","0.752"
"-1.3646","0.757"
"-1.3775","0.747"
"-1.3697","0.695"
"-1.3658","0.676"
"-1.3701","0.687"
"-1.364","0.728"
"-1.3686","0.752"
"-1.3558","0.768"
"-1.3586","0.838"
"-1.3675","0.84"
"-1.3668","0.818"
"-1.3664","0.776"
"-1.3533","0.741"
"-1.3596","0.724"
"-1.3651","0.728"
"-1.3758","0.721"
"-1.387","0.724"
"-1.3628","0.732"
"-1.3634","0.736"
"-1.3626","0.773"
"-1.3574","0.796"
"-1.3597","0.822"
"-1.3655","0.807"
"-1.3656","0.777"
"-1.3604","0.757"
"-1.3707","0.751"
"-1.3749","0.763"
"-1.3674","0.771"
"-1.3688","0.781"
"-1.3609","0.774"
"-1.3565","0.753"
"-1.3478","0.767"
"-1.354","0.789"
"-1.3569","0.808"
"-1.3689","0.803"
"-1.3588","0.784"
"-1.3533","0.755"
"-1.3347","0.761"
"-1.369","0.758"
"-1.3808","0.752"
"-1.3692","0.769"
"-1.3657","0.789"
"-1.3598","0.796"
"-1.3577","0.836"
"-1.3586","0.85"
"-1.3674","0.855"
"-1.3682","0.86"
"-1.3662","0.825"
"-1.3604","0.779"
"-1.3686","0.763"
"-1.3676","0.771"
"-1.3627","0.78"
"-1.3651","0.79"
"-1.3778","0.79"
"-1.3731","0.784"
"-1.3495","0.793"
"-1.3518","0.81"
"-1.3564","0.818"
"-1.3637","0.811"
"-1.3732","0.788"
"-1.3657","0.78"
"-1.3445","0.745"
"-1.3326","0.762"
"-1.3498","0.762"
"-1.3643","0.782"
"-1.365","0.77"
"-1.3701","0.771"
"-1.3532","0.777"
"-1.3438","0.776"
"-1.3462","0.798"
"-1.3612","0.816"
"-1.3735","0.83"
"-1.3725","0.826"
"-1.3743","0.795"
"-1.3672","0.784"
"-1.3644","0.78"
"-1.3584","0.76"
"-1.3675","0.756"
"-1.3721","0.746"
"-1.3511","0.775"
"-1.3414","0.77"
"-1.3433","0.821"
"-1.3485","0.843"
"-1.3492","0.833"
"-1.3662","0.794"
"-1.3684","0.782"
"-1.3666","0.763"
