heartrate,rrvalues
89.6223,0.67
88.9342,0.674
88.4396,0.679
84.6681,0.708
82.4786,0.728
80.3063,0.747
79.017,0.759
80.5966,0.745
82.8044,0.724
82.8716,0.724
81.5493,0.736
80.9491,0.741
77.8998,0.771
77.8144,0.771
78.9223,0.76
79.2394,0.757
75.9374,0.79
76.2504,0.787
77.7163,0.772
78.3661,0.766
82.3626,0.728
81.7733,0.734
79.2739,0.757
80.1367,0.749
76.6666,0.782
78.7739,0.762
79.8196,0.751
79.0388,0.76
75.982,0.789
75.1176,0.799
77.9925,0.769
77.6758,0.773
76.8594,0.78
75.9869,0.79
75.8139,0.791
77.8719,0.771
79.139,0.758
80.8195,0.742
80.0401,0.75
81.9072,0.733
80.3272,0.747
79.9589,0.75
79.0946,0.759
78.5439,0.763
76.1152,0.789
76.7529,0.781
76.7863,0.782
78.8767,0.761
81.3359,0.737
82.9996,0.723
83.9723,0.715
82.4553,0.727
79.2303,0.758
77.3805,0.775
78.4439,0.765
74.7708,0.802
72.5664,0.827
72.4763,0.828
75.7956,0.792
78.3366,0.766
76.4946,0.784
78.6973,0.762
78.7988,0.762
82.2882,0.729
84.6454,0.709
85.7676,0.699
86.6191,0.693
82.9431,0.723
76.7548,0.782
71.8117,0.836
70.8672,0.846
75.0107,0.8
77.5577,0.774
79.1467,0.758
79.9159,0.751
79.3784,0.756
82.1217,0.73
83.2192,0.721
84.0229,0.714
81.794,0.734
79.0318,0.759
76.8943,0.78
74.2155,0.809
71.7067,0.836
69.0658,0.869
68.1672,0.88
67.9003,0.884
70.4266,0.852
73.9993,0.811
78.4392,0.765
77.9758,0.769
77.6483,0.773
76.1388,0.788
71.0562,0.844
67.605,0.888
68.6619,0.874
65.4328,0.917
66.5345,0.901
70.127,0.856
73.6125,0.815
75.687,0.793
78.7305,0.762
79.0742,0.759
80.7661,0.743
79.1953,0.757
78.5529,0.764
80.9822,0.741
78.5065,0.764
74.1065,0.81
73.5333,0.816
75.0643,0.799
75.3032,0.797
78.4732,0.764
79.8791,0.752
79.1777,0.757
80.3514,0.747
86.3037,0.695
88.7828,0.676
87.4114,0.687
82.3652,0.728
79.7453,0.752
78.1407,0.768
71.6639,0.838
71.3751,0.84
73.3389,0.818
77.3704,0.776
80.9557,0.741
82.8156,0.724
82.4765,0.728
83.1711,0.721
82.9324,0.724
81.926,0.732
81.576,0.736
77.6143,0.773
75.3804,0.796
72.9976,0.822
74.3301,0.807
77.1776,0.777
79.2409,0.757
79.9363,0.751
78.691,0.763
77.8031,0.771
76.777,0.781
77.5529,0.774
79.6598,0.753
78.1919,0.767
76.0358,0.789
74.296,0.808
74.7662,0.803
76.5318,0.784
79.4199,0.755
78.8546,0.761
79.1939,0.758
79.6985,0.752
78.0503,0.769
76.075,0.789
75.3682,0.796
71.8014,0.836
70.5417,0.85
70.1647,0.855
69.776,0.86
72.7216,0.825
77.0481,0.779
78.6328,0.763
77.828,0.771
76.9615,0.78
75.8761,0.79
75.9987,0.79
76.4618,0.784
75.7378,0.793
74.0079,0.81
73.3763,0.818
73.9668,0.811
76.2172,0.788
76.9141,0.78
80.4964,0.745
78.7679,0.762
78.742,0.762
76.7018,0.782
77.9175,0.77
77.7839,0.771
77.2218,0.777
77.318,0.776
75.2345,0.798
73.5295,0.816
72.2464,0.83
72.6794,0.826
75.4451,0.795
76.5337,0.784
76.9614,0.78
78.8945,0.76
79.3523,0.756
80.4283,0.746
77.4557,0.775
77.9429,0.77
73.074,0.821
71.1832,0.843
72.0517,0.833
75.5396,0.794
76.7249,0.782
78.5951,0.763
79.4432,0.756
78.9772,0.759
80.9828,0.741
80.8264,0.742
81.4482,0.737
83.6063,0.718
82.6595,0.726
80.4406,0.746
79.5187,0.754
76.9623,0.78
77.7515,0.771
78.8629,0.761
79.8526,0.752
83.1163,0.721
83.0574,0.723
86.1598,0.696
89.5399,0.67
93.688,0.641
89.7384,0.668
83.7063,0.717
80.3431,0.747
79.7828,0.752
74.1655,0.809
74.1335,0.809
74.6594,0.804
75.5049,0.795
77.7413,0.771
77.0813,0.779
78.1135,0.768
80.5703,0.745
81.0822,0.74
80.191,0.748
82.1176,0.73
80.7073,0.744
80.1444,0.749
79.7648,0.752
79.7251,0.752
80.3258,0.747
78.4513,0.765
80.0032,0.75
79.6165,0.754
80.193,0.748
81.6084,0.735
80.673,0.744
79.3377,0.756
77.2194,0.777
76.1936,0.788
74.3317,0.807
74.8909,0.801
75.6788,0.793
77.8536,0.77
80.0165,0.75
79.6252,0.754
78.0252,0.769
73.5099,0.816
70.861,0.847
67.9192,0.883
69.4152,0.865
69.2691,0.866
72.9772,0.822
75.2914,0.797
81.7796,0.733
82.1883,0.73
83.4103,0.72
81.4658,0.736
78.8934,0.761
72.9457,0.822
68.5521,0.876
70.9536,0.845
72.8977,0.823
74.6954,0.804
74.1551,0.809
75.0121,0.8
75.2666,0.797
78.8812,0.76
79.6065,0.754
78.4824,0.765
76.9583,0.779
72.309,0.83
71.2633,0.842
69.7236,0.86
71.43,0.84
72.4746,0.828
76.3819,0.786
78.8934,0.76
82.3872,0.729
83.9008,0.715
81.886,0.733
78.8634,0.76
77.1302,0.778
74.7672,0.803
72.9136,0.823
73.7604,0.813
76.7414,0.782
78.7959,0.761
80.8607,0.742
79.6302,0.754
79.9422,0.75
80.7774,0.743
81.7767,0.734
80.5982,0.744
81.6796,0.735
79.874,0.751
78.546,0.764
78.7334,0.762
77.4813,0.774
79.862,0.752
77.1996,0.777
76.9014,0.78
76.7918,0.781
75.7464,0.793
78.2538,0.766
79.0268,0.76
79.0349,0.759
76.5029,0.784
77.7701,0.772
78.9694,0.759
78.5214,0.764
76.9944,0.78
75.9825,0.789
73.7438,0.814
75.0804,0.799
76.5084,0.784
76.4308,0.785
77.0124,0.779
79.7985,0.752
78.4893,0.765
77.8039,0.771
76.9954,0.779
75.663,0.793
73.3851,0.818
71.9521,0.834
71.8593,0.835
72.3109,0.829
70.3385,0.853
70.1876,0.855
72.2109,0.831
76.8983,0.78
80.362,0.747
82.3192,0.729
81.6175,0.735
77.6811,0.772
70.4927,0.852
69.8611,0.858
70.8025,0.848
71.7014,0.837
71.4855,0.839
73.0255,0.822
76.5263,0.784
78.8478,0.761
79.8332,0.751
80.8605,0.742
81.2691,0.739
85.0836,0.705
89.3948,0.671
93.3221,0.643
90.0746,0.666
89.381,0.671
85.6313,0.701
86.4997,0.694
83.3077,0.72
78.2746,0.766
78.6978,0.763
77.798,0.771
79.1987,0.758
79.7529,0.752
80.4122,0.746
82.0139,0.732
82.2841,0.729
80.2761,0.747
80.9342,0.742
80.476,0.745
84.1883,0.713
80.6269,0.744
78.4946,0.764
78.3667,0.766
78.5013,0.764
79.8536,0.752
79.8294,0.751
79.8934,0.751
77.8216,0.771
76.9053,0.78
78.0237,0.769
78.5564,0.764
77.757,0.772
77.749,0.772
75.4052,0.795
74.4139,0.807
71.5049,0.839
71.2229,0.842
72.4883,0.828
69.2155,0.867
69.1414,0.867
69.6071,0.862
73.7187,0.814
75.88,0.791
78.3929,0.765
80.3195,0.747
77.139,0.778
72.4284,0.829
68.4422,0.876
69.7238,0.861
70.5409,0.85
71.8075,0.836
71.3527,0.841
74.0844,0.81
78.2771,0.766
82.0913,0.731
86.276,0.696
87.0537,0.689
87.3241,0.687
87.2852,0.687
86.7091,0.692
81.3301,0.738
78.2002,0.767
76.9306,0.78
77.3974,0.775
78.1022,0.769
78.0562,0.768
76.158,0.788
79.086,0.759
78.1244,0.768
79.4556,0.755
79.8473,0.751
82.6435,0.726
81.8838,0.733
80.482,0.746
79.2626,0.757
78.8867,0.76
78.52,0.764
80.3257,0.747
79.1503,0.758
79.8856,0.752
78.503,0.764
79.6979,0.753
81.8032,0.733
81.4765,0.737
83.9468,0.714
83.2561,0.721
80.0462,0.75
78.3667,0.765
74.5219,0.805
76.7706,0.782
76.9202,0.78
74.7928,0.802
73.4703,0.817
72.1284,0.832
71.5436,0.838
72.0703,0.833
71.3418,0.841
71.7121,0.836
69.0459,0.869
69.1766,0.868
69.7906,0.86
67.4891,0.889
66.9452,0.896
68.6223,0.874
72.7317,0.825
77.2398,0.777
81.8638,0.733
80.0022,0.75
73.3666,0.818
67.5139,0.888
72.4262,0.829
76.3901,0.785
74.1879,0.809
76.8867,0.78
77.2966,0.777
75.4203,0.795
75.2875,0.797
75.6993,0.793
77.9733,0.769
81.0138,0.741
81.3343,0.737
80.4434,0.746
80.6358,0.744
80.9457,0.742
79.8029,0.751
79.564,0.755
80.7115,0.743
80.0162,0.75
77.705,0.772
77.4176,0.775
77.5858,0.773
78.6937,0.763
81.1688,0.739
83.0869,0.722
81.7392,0.734
79.398,0.756
78.3695,0.765
78.6035,0.764
79.1599,0.758
79.7412,0.752
77.7784,0.772
76.724,0.782
76.6632,0.782
77.4018,0.775
78.197,0.768
81.3624,0.737
82.4952,0.727
82.3905,0.729
81.5075,0.736
82.2812,0.729
78.9374,0.76
77.3689,0.776
78.7805,0.761
78.3056,0.767
80.7416,0.743
81.87,0.732
80.6867,0.744
79.8284,0.752
80.688,0.743
82.5183,0.727
80.3201,0.747
82.4883,0.728
81.1309,0.739
79.851,0.752
83.3035,0.72
81.8027,0.733
81.9267,0.733
81.2299,0.739
80.5022,0.745
79.5615,0.754
77.9675,0.77
75.9411,0.79
77.2516,0.776
77.891,0.771
76.8648,0.78
76.6953,0.782
77.6606,0.773
77.8511,0.771
78.8313,0.761
79.934,0.751
78.5338,0.764
78.1937,0.767
77.4455,0.775
77.2652,0.776
76.8944,0.78
75.3813,0.796
73.3316,0.819
70.6667,0.849
70.7448,0.848
72.5085,0.827
70.5666,0.851
71.7417,0.836
73.0326,0.821
74.151,0.81
73.6436,0.814
71.847,0.835
70.4548,0.852
69.9674,0.858
69.9647,0.857
70.9751,0.845
73.749,0.814
81.1335,0.74
87.8952,0.682
93.1586,0.644
82.332,0.729
74.1576,0.809
72.3201,0.83
69.755,0.86
65.7041,0.913
66.625,0.901
69.1541,0.867
73.8537,0.813
76.8663,0.78
75.7861,0.792
77.5935,0.773
77.8048,0.771
78.0071,0.77
81.4685,0.736
81.5244,0.736
80.5277,0.745
79.777,0.752
78.8017,0.762
76.3521,0.785
77.1901,0.778
77.4551,0.774
80.648,0.744
80.3789,0.747
79.8451,0.751
80.1507,0.749
80.3526,0.747
81.573,0.735
82.0846,0.731
82.3395,0.729
82.2578,0.729
83.0241,0.723
