heartrate,rrvalues
90.4621,0.663
89.9195,0.667
88.9522,0.675
87.8673,0.682
87.7587,0.684
85.0965,0.705
84.6,0.709
83.4212,0.72
83.9309,0.715
86.8458,0.69
88.2853,0.68
87.0725,0.689
88.0218,0.682
88.1613,0.68
90.7807,0.661
91.229,0.658
90.3483,0.664
90.6679,0.662
92.36,0.649
94.4169,0.636
96.6045,0.621
97.2958,0.617
94.1291,0.637
93.811,0.64
95.1433,0.63
93.9278,0.639
89.978,0.667
89.9024,0.667
88.2191,0.681
86.8195,0.691
89.3333,0.671
89.9613,0.667
87.9705,0.682
89.1512,0.673
91.6692,0.655
89.2403,0.672
91.7867,0.654
92.1388,0.651
90.2023,0.665
89.2526,0.672
89.3855,0.672
88.5604,0.677
90.7746,0.661
88.5628,0.678
88.8161,0.675
86.3318,0.695
88.2441,0.68
89.7115,0.669
89.2818,0.672
92.6759,0.647
89.719,0.669
88.0365,0.682
87.1645,0.688
86.8522,0.691
87.7078,0.684
87.829,0.683
87.3479,0.687
86.7913,0.691
88.2173,0.68
87.6323,0.685
89.8332,0.668
90.2081,0.665
91.3618,0.657
90.1014,0.666
88.583,0.677
87.9398,0.682
90.9563,0.66
87.499,0.686
87.7185,0.684
86.2247,0.696
85.8418,0.699
83.7119,0.716
86.8154,0.691
85.0049,0.706
85.7539,0.7
85.3307,0.703
86.4656,0.694
86.8317,0.691
88.0826,0.681
90.9617,0.66
92.6636,0.647
93.3237,0.643
94.5721,0.635
93.5408,0.641
88.3155,0.68
90.5098,0.662
92.5987,0.648
94.7265,0.634
87.4363,0.686
90.798,0.661
88.2597,0.68
87.7488,0.683
89.4974,0.671
88.8759,0.675
88.7941,0.676
91.6914,0.654
94.615,0.634
96.1882,0.624
99.8446,0.601
98.0073,0.612
92.5452,0.648
87.4819,0.686
91.3603,0.657
87.3445,0.687
89.2309,0.672
89.0659,0.674
90.1344,0.666
93.5108,0.641
94.1914,0.637
93.0051,0.645
92.1311,0.652
91.5641,0.655
89.8846,0.667
89.7969,0.669
90.4883,0.663
92.0633,0.651
92.6904,0.648
94.1437,0.637
92.4188,0.649
91.4204,0.657
90.6749,0.661
92.4847,0.649
90.4762,0.663
94.2926,0.637
92.6365,0.647
91.4613,0.656
89.4225,0.671
92.6017,0.648
89.0072,0.674
93.6554,0.641
89.6633,0.669
90.3766,0.664
88.343,0.679
87.1267,0.689
86.4693,0.694
87.0426,0.689
87.1467,0.689
86.4855,0.693
85.6366,0.701
86.8378,0.691
88.2228,0.68
88.9698,0.674
93.4436,0.642
89.6337,0.67
89.3529,0.671
85.847,0.699
84.1186,0.714
84.8466,0.707
84.8885,0.706
82.2251,0.73
81.4657,0.737
85.9165,0.698
88.818,0.676
92.4759,0.648
95.1198,0.631
94.3354,0.636
92.1702,0.651
90.5657,0.663
89.3266,0.671
87.7503,0.684
90.0558,0.666
89.1612,0.673
89.8607,0.668
90.4066,0.664
90.1809,0.665
