sno,rrvalues
1000,0.78
1001,0.782
1002,0.795
1003,0.792
1004,0.813
1005,0.831
1006,0.832
1007,0.826
1008,0.797
1009,0.794
1010,0.792
1011,0.794
1012,0.798
1013,0.787
1014,0.788
1015,0.809
1016,0.819
1017,0.834
1018,0.823
1019,0.826
1020,0.841
1021,0.823
1022,0.826
1023,0.779
1024,0.785
1025,0.776
1026,0.777
1027,0.771
1028,0.761
1029,0.76
1030,0.776
1031,0.789
1032,0.787
1033,0.794
1034,0.798
1035,0.801
1036,0.828
1037,0.818
1038,0.835
1039,0.854
1040,0.854
1041,0.835
1042,0.797
1043,0.792
1044,0.789
1045,0.791
1046,0.804
1047,0.826
1048,0.866
1049,0.885
1050,0.862
1051,0.84
1052,0.813
1053,0.785
1054,0.786
1055,0.771
1056,0.762
1057,0.742
1058,0.73
1059,0.737
1060,0.756
1061,0.773
1062,0.82
1063,0.807
1064,0.779
1065,0.8
1066,0.793
1067,0.773
1068,0.758
1069,0.74
1070,0.739
1071,0.735
1072,0.762
1073,0.773
1074,0.793
1075,0.798
1076,0.792
1077,0.809
1078,0.824
1079,0.825
1080,0.754
1081,0.709
1082,0.7
1083,0.719
1084,0.73
1085,0.744
1086,0.803
1087,0.831
1088,0.818
1089,0.815
1090,0.804
1091,0.799
1092,0.802
1093,0.784
1094,0.775
1095,0.784
1096,0.817
1097,0.846
1098,0.843
1099,0.813
1100,0.791
1101,0.793
1102,0.793
1103,0.786
1104,0.752
1105,0.733
1106,0.68
1107,0.68
1108,0.699
1109,0.73
1110,0.781
1111,0.793
1112,0.797
1113,0.817
1114,0.849
1115,0.804
1116,0.8
1117,0.787
1118,0.803
1119,0.789
1120,0.784
1121,0.791
1122,0.751
1123,0.765
1124,0.785
1125,0.794
1126,0.784
1127,0.787
1128,0.775
1129,0.825
1130,0.834
1131,0.814
1132,0.805
1133,0.777
1134,0.813
1135,0.839
1136,0.876
1137,0.838
1138,0.804
1139,0.797
1140,0.836
1141,0.819
1142,0.816
1143,0.828
1144,0.825
1145,0.842
1146,0.846
1147,0.856
1148,0.845
1149,0.822
1150,0.794
1151,0.767
1152,0.776
1153,0.783
1154,0.789
1155,0.798
1156,0.847
1157,0.841
1158,0.826
1159,0.816
1160,0.807
1161,0.819
1162,0.806
1163,0.793
1164,0.772
1165,0.774
1166,0.786
1167,0.784
1168,0.786
1169,0.776
1170,0.781
1171,0.803
1172,0.792
1173,0.726
1174,0.717
1175,0.733
1176,0.764
1177,0.791
1178,0.835
1179,0.845
1180,0.842
1181,0.799
1182,0.762
1183,0.756
1184,0.776
1185,0.8
1186,0.806
1187,0.802
1188,0.796
1189,0.837
1190,0.867
1191,0.856
1192,0.813
1193,0.771
1194,0.772
1195,0.773
1196,0.8
1197,0.824
1198,0.804
1199,0.824
1200,0.84
1201,0.87
1202,0.847
1203,0.82
1204,0.786
1205,0.77
1206,0.757
1207,0.763
1208,0.785
1209,0.795
1210,0.808
1211,0.848
1212,0.851
1213,0.833
1214,0.815
1215,0.785
1216,0.781
1217,0.79
1218,0.8
1219,0.78
1220,0.798
1221,0.812
1222,0.827
1223,0.809
1224,0.801
1225,0.806
1226,0.814
1227,0.82
1228,0.796
1229,0.798
1230,0.814
1231,0.794
1232,0.807
1233,0.806
1234,0.792
1235,0.8
1236,0.797
1237,0.797
1238,0.791
1239,0.782
1240,0.8
1241,0.803
1242,0.802
1243,0.791
1244,0.773
1245,0.77
1246,0.787
1247,0.8
1248,0.79
1249,0.801
1250,0.796
1251,0.815
1252,0.812
1253,0.801
1254,0.781
1255,0.769
1256,0.779
1257,0.779
1258,0.764
1259,0.709
1260,0.693
1261,0.729
1262,0.776
1263,0.767
1264,0.793
1265,0.817
1266,0.817
1267,0.792
1268,0.751
1269,0.751
1270,0.727
1271,0.72
1272,0.738
1273,0.761
1274,0.77
1275,0.821
1276,0.832
1277,0.831
1278,0.808
1279,0.799
1280,0.796
1281,0.787
1282,0.781
1283,0.772
1284,0.762
1285,0.762
1286,0.764
1287,0.759
1288,0.762
1289,0.764
1290,0.783
1291,0.79
1292,0.78
1293,0.759
1294,0.737
1295,0.717
1296,0.727
1297,0.741
1298,0.741
1299,0.754
1300,0.781
1301,0.805
1302,0.824
1303,0.798
1304,0.78
1305,0.779
1306,0.783
1307,0.782
1308,0.775
1309,0.777
1310,0.777
1311,0.782
1312,0.787
1313,0.766
1314,0.767
1315,0.761
1316,0.777
1317,0.796
1318,0.782
1319,0.78
1320,0.765
1321,0.772
1322,0.793
1323,0.79
1324,0.798
1325,0.775
1326,0.783
1327,0.78
1328,0.787
1329,0.764
1330,0.763
1331,0.787
1332,0.803
1333,0.819
1334,0.811
1335,0.787
1336,0.784
1337,0.782
1338,0.781
1339,0.793
1340,0.799
1341,0.784
1342,0.798
1343,0.85
1344,0.827
1345,0.825
1346,0.778
1347,0.763
1348,0.754
1349,0.745
1350,0.743
1351,0.732
1352,0.734
1353,0.766
1354,0.792
1355,0.809
1356,0.79
1357,0.766
1358,0.779
1359,0.798
1360,0.808
1361,0.788
1362,0.78
1363,0.77
1364,0.781
1365,0.796
1366,0.798
1367,0.783
1368,0.769
1369,0.777
1370,0.794
1371,0.801
1372,0.792
1373,0.783
1374,0.794
1375,0.796
1376,0.813
1377,0.78
1378,0.773
1379,0.785
1380,0.81
1381,0.81
1382,0.786
1383,0.782
1384,0.799
1385,0.806
1386,0.777
1387,0.754
1388,0.738
1389,0.747
1390,0.868
1391,0.81
1392,0.875
1393,0.871
1394,0.835
1395,0.822
1396,0.818
1397,0.777
1398,0.748
1399,0.747
1400,0.737
1401,0.733
1402,0.713
1403,0.728
1404,0.755
1405,0.77
1406,0.762
1407,0.764
1408,0.74
1409,0.73
1410,0.753
1411,0.744
1412,0.755
1413,0.745
1414,0.742
1415,0.722
1416,0.735
1417,0.748
1418,0.741
1419,0.728
1420,0.722
1421,0.73
1422,0.744
1423,0.757
1424,0.743
1425,0.747
1426,0.705
1427,0.725
1428,0.735
1429,0.693
1430,0.665
1431,0.65
1432,0.688
1433,0.695
1434,0.697
1435,0.712
1436,0.732
1437,0.735
1438,0.711
1439,0.693
1440,0.685
1441,0.679
1442,0.707
1443,0.721
1444,0.735
1445,0.743
1446,0.753
1447,0.781
1448,0.792
1449,0.774
1450,0.739
1451,0.718
1452,0.725
1453,0.713
1454,0.731
1455,0.732
1456,0.734
1457,0.747
1458,0.788
1459,0.796
1460,0.78
1461,0.757
1462,0.739
1463,0.763
1464,0.755
1465,0.772
1466,0.762
1467,0.771
1468,0.783
1469,0.815
1470,0.814
1471,0.81
1472,0.796
1473,0.762
1474,0.758
1475,0.73
1476,0.732
1477,0.735
1478,0.742
1479,0.769
1480,0.814
1481,0.836
1482,0.803
1483,0.762
1484,0.764
1485,0.75
1486,0.733
1487,0.739
1488,0.749
1489,0.752
1490,0.792
1491,0.824
1492,0.809
1493,0.792
1494,0.789
1495,0.778
1496,0.763
1497,0.751
1498,0.766
1499,0.777
1500,0.802
1501,0.791
1502,0.832
1503,0.842
1504,0.844
1505,0.823
1506,0.799
1507,0.791
1508,0.772
1509,0.758
1510,0.754
1511,0.762
1512,0.788
1513,0.829
1514,0.865
1515,0.878
1516,0.864
1517,0.82
1518,0.822
1519,0.807
1520,0.816
1521,0.78
1522,0.801
1523,0.785
1524,0.8
1525,0.82
1526,0.812
1527,0.837
1528,0.838
1529,0.856
1530,0.872
1531,0.862
1532,0.829
1533,0.842
1534,0.811
1535,0.813
1536,0.769
1537,0.778
1538,0.78
1539,0.806
1540,0.85
1541,0.88
1542,0.87
1543,0.852
1544,0.833
1545,0.825
1546,0.836
1547,0.817
1548,0.809
1549,0.792
1550,0.766
1551,0.781
1552,0.763
1553,0.782
1554,0.792
1555,0.801
1556,0.785
1557,0.777
1558,0.803
1559,0.801
1560,0.799
1561,0.79
1562,0.773
1563,0.764
1564,0.778
1565,0.781
1566,0.793
1567,0.795
1568,0.802
1569,0.739
1570,0.722
1571,0.732
1572,0.739
1573,0.765
1574,0.808
1575,0.843
1576,0.857
1577,0.84
1578,0.804
1579,0.775
1580,0.776
1581,0.757
1582,0.746
1583,0.715
1584,0.723
1585,0.725
1586,0.754
