sno,rrvalues
1999,0.669
2000,0.67
2001,0.674
2002,0.679
2003,0.708
2004,0.728
2005,0.747
2006,0.759
2007,0.745
2008,0.724
2009,0.724
2010,0.736
2011,0.741
2012,0.771
2013,0.771
2014,0.76
2015,0.757
2016,0.79
2017,0.787
2018,0.772
2019,0.766
2020,0.728
2021,0.734
2022,0.757
2023,0.749
2024,0.782
2025,0.762
2026,0.751
2027,0.76
2028,0.789
2029,0.799
2030,0.769
2031,0.773
2032,0.78
2033,0.79
2034,0.791
2035,0.771
2036,0.758
2037,0.742
2038,0.75
2039,0.733
2040,0.747
2041,0.75
2042,0.759
2043,0.763
2044,0.789
2045,0.781
2046,0.782
2047,0.761
2048,0.737
2049,0.723
2050,0.715
2051,0.727
2052,0.758
2053,0.775
2054,0.765
2055,0.802
2056,0.827
2057,0.828
2058,0.792
2059,0.766
2060,0.784
2061,0.762
2062,0.762
2063,0.729
2064,0.709
2065,0.699
2066,0.693
2067,0.723
2068,0.782
2069,0.836
2070,0.846
2071,0.8
2072,0.774
2073,0.758
2074,0.751
2075,0.756
2076,0.73
2077,0.721
2078,0.714
2079,0.734
2080,0.759
2081,0.78
2082,0.809
2083,0.836
2084,0.869
2085,0.88
2086,0.884
2087,0.852
2088,0.811
2089,0.765
2090,0.769
2091,0.773
2092,0.788
2093,0.844
2094,0.888
2095,0.874
2096,0.917
2097,0.901
2098,0.856
2099,0.815
2100,0.793
2101,0.762
2102,0.759
2103,0.743
2104,0.757
2105,0.764
2106,0.741
2107,0.764
2108,0.81
2109,0.816
2110,0.799
2111,0.797
2112,0.764
2113,0.752
2114,0.757
2115,0.747
2116,0.695
2117,0.676
2118,0.687
2119,0.728
2120,0.752
2121,0.768
2122,0.838
2123,0.84
2124,0.818
2125,0.776
2126,0.741
2127,0.724
2128,0.728
2129,0.721
2130,0.724
2131,0.732
2132,0.736
2133,0.773
2134,0.796
2135,0.822
2136,0.807
2137,0.777
2138,0.757
2139,0.751
2140,0.763
2141,0.771
2142,0.781
2143,0.774
2144,0.753
2145,0.767
2146,0.789
2147,0.808
2148,0.803
2149,0.784
2150,0.755
2151,0.761
2152,0.758
2153,0.752
2154,0.769
2155,0.789
2156,0.796
2157,0.836
2158,0.85
2159,0.855
2160,0.86
2161,0.825
2162,0.779
2163,0.763
2164,0.771
2165,0.78
2166,0.79
2167,0.79
2168,0.784
2169,0.793
2170,0.81
2171,0.818
2172,0.811
2173,0.788
2174,0.78
2175,0.745
2176,0.762
2177,0.762
2178,0.782
2179,0.77
2180,0.771
2181,0.777
2182,0.776
2183,0.798
2184,0.816
2185,0.83
2186,0.826
2187,0.795
2188,0.784
2189,0.78
2190,0.76
2191,0.756
2192,0.746
2193,0.775
2194,0.77
2195,0.821
2196,0.843
2197,0.833
2198,0.794
2199,0.782
2200,0.763
2201,0.756
2202,0.759
2203,0.741
2204,0.742
2205,0.737
2206,0.718
2207,0.726
2208,0.746
2209,0.754
2210,0.78
2211,0.771
2212,0.761
2213,0.752
2214,0.721
2215,0.723
2216,0.696
2217,0.67
2218,0.641
2219,0.668
2220,0.717
2221,0.747
2222,0.752
2223,0.809
2224,0.809
2225,0.804
2226,0.795
2227,0.771
2228,0.779
2229,0.768
2230,0.745
2231,0.74
2232,0.748
2233,0.73
2234,0.744
2235,0.749
2236,0.752
2237,0.752
2238,0.747
2239,0.765
2240,0.75
2241,0.754
2242,0.748
2243,0.735
2244,0.744
2245,0.756
2246,0.777
2247,0.788
2248,0.807
2249,0.801
2250,0.793
2251,0.77
2252,0.75
2253,0.754
2254,0.769
2255,0.816
2256,0.847
2257,0.883
2258,0.865
2259,0.866
