sno,rrvalues
3000,0.748
3001,0.75
3002,0.726
3003,0.71
3004,0.719
3005,0.715
3006,0.721
3007,0.714
3008,0.716
3009,0.717
3010,0.722
3011,0.734
3012,0.755
3013,0.756
3014,0.749
3015,0.737
3016,0.724
3017,0.719
3018,0.71
3019,0.71
3020,0.703
3021,0.732
3022,0.782
3023,0.818
3024,0.832
3025,0.796
3026,0.751
3027,0.719
3028,0.705
3029,0.697
3030,0.709
3031,0.745
3032,0.805
3033,0.86
3034,0.88
3035,0.877
3036,0.869
3037,0.829
3038,0.811
3039,0.754
3040,0.723
3041,0.672
3042,0.63
3043,0.646
3044,0.727
3045,0.808
3046,0.862
3047,0.876
3048,0.845
3049,0.813
3050,0.809
3051,0.784
3052,0.775
3053,0.751
3054,0.733
3055,0.725
3056,0.721
3057,0.718
3058,0.716
3059,0.714
3060,0.722
3061,0.715
3062,0.716
3063,0.748
3064,0.775
3065,0.765
3066,0.758
3067,0.76
3068,0.728
3069,0.726
3070,0.716
3071,0.74
3072,0.737
3073,0.739
3074,0.727
3075,0.742
3076,0.753
3077,0.758
3078,0.757
3079,0.734
3080,0.723
3081,0.72
3082,0.733
3083,0.749
3084,0.77
3085,0.768
3086,0.746
3087,0.759
3088,0.754
3089,0.762
3090,0.753
3091,0.748
3092,0.729
3093,0.737
3094,0.734
3095,0.747
3096,0.706
3097,0.742
3098,0.717
3099,0.736
3100,0.74
3101,0.734
3102,0.715
3103,0.718
3104,0.683
3105,0.679
3106,0.69
3107,0.702
3108,0.721
3109,0.742
3110,0.743
3111,0.752
3112,0.768
3113,0.762
3114,0.751
3115,0.748
3116,0.755
3117,0.743
3118,0.746
3119,0.758
3120,0.773
3121,0.788
3122,0.782
3123,0.771
3124,0.754
3125,0.735
3126,0.725
3127,0.734
3128,0.764
3129,0.787
3130,0.821
3131,0.777
3132,0.747
3133,0.727
3134,0.712
3135,0.679
3136,0.641
3137,0.623
3138,0.618
3139,0.649
3140,0.653
3141,0.681
3142,0.684
3143,0.702
3144,0.725
3145,0.72
3146,0.712
3147,0.696
3148,0.688
3149,0.686
3150,0.686
3151,0.693
3152,0.687
3153,0.696
3154,0.722
3155,0.707
3156,0.737
3157,0.704
3158,0.708
3159,0.703
3160,0.724
3161,0.729
3162,0.748
3163,0.745
3164,0.746
3165,0.738
3166,0.758
3167,0.765
3168,0.758
3169,0.743
3170,0.734
3171,0.738
3172,0.744
3173,0.729
3174,0.735
3175,0.71
3176,0.675
3177,0.652
3178,0.659
3179,0.694
3180,0.73
3181,0.732
3182,0.772
3183,0.793
3184,0.791
3185,0.756
3186,0.724
3187,0.712
3188,0.703
3189,0.699
3190,0.706
3191,0.726
3192,0.733
3193,0.743
3194,0.792
3195,0.785
3196,0.768
3197,0.762
3198,0.754
3199,0.76
3200,0.739
3201,0.711
3202,0.71
3203,0.719
3204,0.718
3205,0.74
3206,0.766
3207,0.763
3208,0.766
3209,0.775
3210,0.761
3211,0.754
3212,0.752
3213,0.727
3214,0.725
3215,0.729
3216,0.726
3217,0.733
3218,0.755
3219,0.767
3220,0.738
3221,0.744
3222,0.759
3223,0.74
3224,0.74
3225,0.733
3226,0.728
3227,0.728
3228,0.733
3229,0.74
3230,0.735
3231,0.745
3232,0.74
3233,0.762
3234,0.747
3235,0.746
3236,0.73
3237,0.728
3238,0.742
3239,0.688
3240,0.67
3241,0.664
3242,0.651
3243,0.618
3244,0.665
3245,0.721
3246,0.761
3247,0.785
3248,0.797
3249,0.79
3250,0.765
3251,0.752
3252,0.748
3253,0.738
3254,0.724
3255,0.717
3256,0.722
3257,0.725
3258,0.743
3259,0.767
3260,0.789
3261,0.784
3262,0.795
3263,0.78
3264,0.77
3265,0.763
3266,0.759
3267,0.745
3268,0.747
3269,0.739
3270,0.758
3271,0.753
3272,0.774
3273,0.803
3274,0.778
3275,0.768
3276,0.763
3277,0.752
3278,0.743
