sno,rrvalues
4000,0.663
4001,0.667
4002,0.675
4003,0.682
4004,0.684
4005,0.705
4006,0.709
4007,0.72
4008,0.715
4009,0.69
4010,0.68
4011,0.689
4012,0.682
4013,0.68
4014,0.661
4015,0.658
4016,0.664
4017,0.662
4018,0.649
4019,0.636
4020,0.621
4021,0.617
4022,0.637
4023,0.64
4024,0.63
4025,0.639
4026,0.667
4027,0.667
4028,0.681
4029,0.691
4030,0.671
4031,0.667
4032,0.682
4033,0.673
4034,0.655
4035,0.672
4036,0.654
4037,0.651
4038,0.665
4039,0.672
4040,0.672
4041,0.677
4042,0.661
4043,0.678
4044,0.675
4045,0.695
4046,0.68
4047,0.669
4048,0.672
4049,0.647
4050,0.669
4051,0.682
4052,0.688
4053,0.691
4054,0.684
4055,0.683
4056,0.687
4057,0.691
4058,0.68
4059,0.685
4060,0.668
4061,0.665
4062,0.657
4063,0.666
4064,0.677
4065,0.682
4066,0.66
4067,0.686
4068,0.684
4069,0.696
4070,0.699
4071,0.716
4072,0.691
4073,0.706
4074,0.7
4075,0.703
4076,0.694
4077,0.691
4078,0.681
4079,0.66
4080,0.647
4081,0.643
4082,0.635
4083,0.641
4084,0.68
4085,0.662
4086,0.648
4087,0.634
4088,0.686
4089,0.661
4090,0.68
4091,0.683
4092,0.671
4093,0.675
4094,0.676
4095,0.654
4096,0.634
4097,0.624
4098,0.601
4099,0.612
4100,0.648
4101,0.686
4102,0.657
4103,0.687
4104,0.672
4105,0.674
4106,0.666
4107,0.641
4108,0.637
4109,0.645
4110,0.652
4111,0.655
4112,0.667
4113,0.669
4114,0.663
4115,0.651
4116,0.648
4117,0.637
4118,0.649
4119,0.657
4120,0.661
4121,0.649
4122,0.663
4123,0.637
4124,0.647
4125,0.656
4126,0.671
4127,0.648
4128,0.674
4129,0.641
4130,0.669
4131,0.664
4132,0.679
4133,0.689
4134,0.694
4135,0.689
4136,0.689
4137,0.693
4138,0.701
4139,0.691
4140,0.68
4141,0.674
4142,0.642
4143,0.67
4144,0.671
4145,0.699
4146,0.714
4147,0.707
4148,0.706
4149,0.73
4150,0.737
4151,0.698
4152,0.676
4153,0.648
4154,0.631
4155,0.636
4156,0.651
4157,0.663
4158,0.671
4159,0.684
4160,0.666
4161,0.673
4162,0.668
4163,0.664
4164,0.665
4165,0.662
4166,0.661
4167,0.68
4168,0.68
4169,0.679
4170,0.69
4171,0.687
4172,0.681
4173,0.657
4174,0.668
4175,0.656
4176,0.658
4177,0.669
4178,0.66
4179,0.685
4180,0.698
4181,0.708
4182,0.728
4183,0.746
4184,0.72
4185,0.737
4186,0.727
4187,0.707
4188,0.688
4189,0.701
4190,0.688
4191,0.688
4192,0.715
4193,0.742
4194,0.744
4195,0.733
4196,0.739
4197,0.738
