respiratoryrate,rrvalues
15.313,0.78
15.313,0.782
15.313,0.795
13.936,0.792
12.6068,0.813
12.6068,0.831
12.6068,0.832
12.6068,0.826
12.6068,0.797
13.9923,0.794
14.6554,0.792
14.6554,0.794
14.6554,0.798
14.6554,0.787
14.6922,0.788
14.7275,0.809
14.7275,0.819
14.7275,0.834
14.7275,0.823
13.991,0.826
13.3418,0.841
13.3418,0.823
13.3418,0.826
13.3418,0.779
13.3418,0.785
15.5763,0.776
15.5879,0.777
15.5879,0.771
15.5879,0.761
15.5879,0.76
18.9187,0.776
18.9534,0.789
18.9534,0.787
18.9534,0.794
16.7335,0.798
16.6528,0.801
16.6528,0.828
16.6528,0.818
17.2767,0.835
17.813,0.854
17.813,0.854
17.813,0.835
17.1487,0.797
16.5554,0.792
16.5554,0.789
16.5554,0.791
16.5554,0.804
13.0632,0.826
12.9407,0.866
12.9407,0.885
12.9407,0.862
12.9407,0.84
12.9081,0.813
12.8788,0.785
12.8788,0.786
12.8788,0.771
12.8788,0.762
12.8788,0.742
12.7052,0.73
12.5114,0.737
12.5114,0.756
12.5114,0.773
12.5114,0.82
12.5114,0.807
12.7736,0.779
13.4354,0.8
13.4354,0.793
13.4354,0.773
13.4354,0.758
13.4354,0.74
13.2445,0.739
13.0424,0.735
13.0424,0.762
13.0424,0.773
13.0424,0.793
13.0424,0.798
11.1808,0.792
9.4551,0.809
9.4551,0.824
9.4551,0.825
9.4551,0.754
9.4551,0.709
9.4551,0.7
9.4551,0.719
10.3773,0.73
14.4049,0.744
14.4049,0.803
14.4049,0.831
14.4049,0.818
14.4049,0.815
13.8858,0.804
13.8733,0.799
13.8733,0.802
13.8733,0.784
13.8733,0.775
14.2853,0.784
14.6728,0.817
14.6728,0.846
14.6728,0.843
14.6728,0.813
14.2775,0.791
13.937,0.793
13.937,0.793
13.937,0.786
13.937,0.752
13.937,0.733
13.8592,0.68
13.8564,0.68
13.8564,0.699
13.8564,0.73
13.8564,0.781
13.878,0.793
15.5634,0.797
15.5634,0.817
15.5634,0.849
15.5634,0.804
14.9117,0.8
13.2149,0.787
13.2149,0.803
13.2149,0.789
13.2149,0.784
13.2149,0.791
13.5859,0.751
13.9368,0.765
13.9368,0.785
13.9368,0.794
13.9368,0.784
13.9368,0.787
13.5606,0.775
13.5586,0.825
13.5586,0.834
13.5586,0.814
13.5586,0.805
13.3018,0.777
