respiratoryrate,rrvalues
15.0363,0.663
15.0363,0.667
15.0363,0.675
14.7042,0.682
14.3056,0.684
14.3056,0.705
14.3056,0.709
14.3056,0.72
14.3056,0.715
14.4732,0.69
14.6466,0.68
14.6466,0.689
14.6466,0.682
14.6466,0.68
14.6466,0.661
12.7775,0.658
10.4346,0.664
10.4346,0.662
10.4346,0.649
10.4346,0.636
10.4346,0.621
10.4346,0.617
10.4346,0.637
10.4346,0.64
13.2565,0.63
16.4005,0.639
16.4005,0.667
16.4005,0.667
16.4005,0.681
16.4005,0.691
14.9488,0.671
14.9156,0.667
14.9156,0.682
14.9156,0.673
14.9156,0.655
14.9156,0.672
15.4171,0.654
15.4313,0.651
15.4313,0.665
15.4313,0.672
15.4313,0.672
15.2986,0.677
14.3743,0.661
14.3743,0.678
14.3743,0.675
14.3743,0.695
14.3743,0.68
14.3743,0.669
13.8661,0.672
13.8415,0.647
13.8415,0.669
13.8415,0.682
13.8415,0.688
13.8415,0.691
14.1437,0.684
14.4047,0.683
14.4047,0.687
14.4047,0.691
14.4047,0.68
14.4047,0.685
13.7137,0.668
12.8452,0.665
12.8452,0.657
12.8452,0.666
12.8452,0.677
12.8452,0.682
12.8452,0.66
12.5997,0.686
12.3155,0.684
12.3155,0.696
12.3155,0.699
12.3155,0.716
12.3155,0.691
12.3155,0.706
12.4343,0.7
12.5616,0.703
12.5616,0.694
12.5616,0.691
12.5616,0.681
12.5616,0.66
12.5616,0.647
11.7927,0.643
10.7959,0.635
10.7959,0.641
10.7959,0.68
10.7959,0.662
10.7959,0.648
10.7959,0.634
10.7959,0.686
10.7959,0.661
10.2021,0.68
10.1747,0.683
10.1747,0.671
10.1747,0.675
10.1747,0.676
10.1747,0.654
10.1747,0.634
10.1747,0.624
10.1747,0.601
10.2769,0.612
10.282,0.648
10.282,0.686
10.282,0.657
10.282,0.687
10.282,0.672
10.282,0.674
10.282,0.666
10.2711,0.641
10.1928,0.637
10.1928,0.645
10.1928,0.652
10.1928,0.655
10.1928,0.667
10.1928,0.669
10.1928,0.663
10.1928,0.651
10.636,0.648
13.8278,0.637
13.8278,0.649
13.8278,0.657
13.8278,0.661
13.8278,0.649
13.8278,0.663
15.1207,0.637
16.6386,0.647
16.6386,0.656
16.6386,0.671
16.6386,0.648
16.6386,0.674
13.7959,0.641
13.7184,0.669
13.7184,0.664
13.7184,0.679
13.7184,0.689
13.7184,0.694
14.0722,0.689
14.4483,0.689
14.4483,0.693
14.4483,0.701
14.4483,0.691
14.4483,0.68
14.2063,0.674
13.9204,0.642
13.9204,0.67
13.9204,0.671
13.9204,0.699
13.9204,0.714
13.7893,0.707
13.0111,0.706
13.0111,0.73
13.0111,0.737
13.0111,0.698
13.0111,0.676
13.0111,0.648
14.0657,0.631
15.1104,0.636
15.1104,0.651
15.1104,0.663
15.1104,0.671
15.1104,0.684
14.6661,0.666
14.177,0.673
14.177,0.668
14.177,0.664
14.177,0.665
14.177,0.662
14.0695,0.661
13.2659,0.68
13.2659,0.68
13.2659,0.679
13.2659,0.69
13.2659,0.687
13.2659,0.681
14.111,0.657
15.0628,0.668
15.0628,0.656
15.0628,0.658
15.0628,0.669
15.0628,0.66
15.1144,0.685
15.1729,0.698
15.1729,0.708
15.1729,0.728
15.1729,0.746
15.1729,0.72
13.1557,0.737
13.0612,0.727
13.0612,0.707
13.0612,0.688
13.0612,0.701
13.0612,0.688
13.3866,0.688
13.7858,0.715
13.7858,0.742
13.7858,0.744
13.7858,0.733
13.7858,0.739
13.9291,0.738
14.0732,0.711
14.0732,0.718
14.0732,0.705
14.0732,0.693
14.0732,0.681
14.061,0.681
14.045,0.675
14.045,0.684
14.045,0.684
14.045,0.674
14.045,0.673
14.2381,0.664
15.7323,0.66
15.7323,0.671
15.7323,0.674
15.7323,0.684
15.7323,0.682
15.0085,0.699
14.2084,0.699
14.2084,0.714
14.2084,0.726
14.2084,0.724
14.2084,0.704
14.3564,0.684
14.4896,0.681
14.4896,0.685
14.4896,0.682
14.4896,0.691
14.4896,0.676
14.7762,0.695
15.0951,0.712
15.0951,0.725
15.0951,0.743
15.0951,0.75
15.0661,0.722
11.6048,0.715
11.6048,0.668
11.6048,0.676
11.6048,0.684
11.6048,0.687
11.6048,0.673
11.6048,0.708
12.5668,0.7
13.5455,0.703
13.5455,0.739
13.5455,0.773
13.5455,0.753
13.5455,0.749
12.7105,0.747
11.9083,0.735
11.9083,0.734
11.9083,0.722
11.9083,0.71
11.9083,0.691
11.9083,0.691
13.3127,0.682
15.018,0.683
15.018,0.714
15.018,0.74
15.018,0.775
15.018,0.747
12.8379,0.763
12.7549,0.738
12.7549,0.74
12.7549,0.723
12.7549,0.71
12.7549,0.695
12.8234,0.685
12.9006,0.689
12.9006,0.668
12.9006,0.656
12.9006,0.648
12.9006,0.642
12.9006,0.659
11.5178,0.681
9.9015,0.72
9.9015,0.738
9.9015,0.771
9.9015,0.733
9.9015,0.715
9.9015,0.684
9.9015,0.683
9.9015,0.682
14.8321,0.652
14.9881,0.663
14.9881,0.668
14.9881,0.67
14.9881,0.687
14.9881,0.656
13.7897,0.67
13.7393,0.662
13.7393,0.678
13.7393,0.679
13.7393,0.689
13.7393,0.669
13.7003,0.662
13.6574,0.675
13.6574,0.657
13.6574,0.668
13.6574,0.688
13.6574,0.678
13.6574,0.682
14.3245,0.672
14.3567,0.701
14.3567,0.69
14.3567,0.704
14.3567,0.724
14.3567,0.698
13.4835,0.694
13.4562,0.711
13.4562,0.682
13.4562,0.681
13.4562,0.684
13.4562,0.666
13.7334,0.659
14.0713,0.67
14.0713,0.709
14.0713,0.726
14.0713,0.755
14.0713,0.738
14.1187,0.726
