respiratoryrate,rrvalues
15.8475,0.793
15.8475,0.796
15.8475,0.801
15.8475,0.85
15.8475,0.857
15.8475,0.835
15.8475,0.798
14.8938,0.767
14.8576,0.769
14.8576,0.761
14.8576,0.756
14.8576,0.748
16.047,0.744
16.7051,0.756
16.7051,0.774
16.7051,0.776
16.7051,0.778
15.3763,0.774
15.3246,0.78
15.3246,0.792
15.3246,0.79
15.3246,0.777
15.753,0.77
15.7709,0.777
15.7709,0.794
15.7709,0.791
15.7177,0.776
15.2054,0.788
15.2054,0.807
15.2054,0.797
15.2054,0.777
15.3237,0.786
16.3394,0.799
16.3394,0.816
16.3394,0.808
16.3394,0.786
16.6104,0.772
16.8744,0.771
16.8744,0.777
16.8744,0.788
16.8744,0.793
15.6012,0.815
15.5424,0.827
15.5424,0.845
15.5424,0.818
15.7484,0.808
16.313,0.802
16.313,0.797
16.313,0.797
16.313,0.801
17.1577,0.807
17.5707,0.824
17.5707,0.839
17.5707,0.82
17.0126,0.83
16.5204,0.832
16.5204,0.831
16.5204,0.82
16.494,0.804
16.2997,0.801
16.2997,0.798
16.2997,0.798
16.2997,0.803
16.229,0.815
16.1658,0.86
16.1658,0.856
16.1658,0.828
16.1691,0.815
16.2012,0.811
16.2012,0.809
16.2012,0.808
16.2012,0.808
16.0123,0.815
15.8389,0.827
15.8389,0.851
15.8389,0.844
15.8389,0.835
14.2131,0.842
14.2014,0.854
14.2014,0.861
14.2014,0.835
14.2014,0.82
14.7205,0.815
14.7329,0.836
14.7329,0.841
14.7329,0.84
14.6381,0.843
13.7702,0.848
13.7702,0.866
13.7702,0.857
13.7702,0.852
13.7702,0.819
14.4236,0.815
14.4503,0.82
14.4503,0.836
14.4503,0.851
14.4503,0.84
16.2294,0.828
16.2779,0.844
16.2779,0.823
16.2779,0.82
14.5306,0.831
12.9627,0.873
12.9627,0.884
12.9627,0.919
12.9627,0.888
12.9888,0.876
13.0546,0.879
13.0546,0.881
13.0546,0.871
13.0546,0.849
13.0546,0.838
13.3148,0.823
13.3243,0.836
13.3243,0.83
13.3243,0.833
13.3243,0.836
12.9119,0.821
12.5668,0.848
12.5668,0.871
12.5668,0.882
12.5668,0.868
12.5668,0.847
14.4128,0.826
14.44,0.825
14.44,0.819
14.44,0.819
14.44,0.846
13.5294,0.876
13.4949,0.912
13.4949,0.937
13.4949,0.928
13.7727,0.911
16.4385,0.903
16.4385,0.893
16.4385,0.876
16.4385,0.861
15.908,0.879
15.8886,0.885
15.8886,0.898
15.8886,0.875
16.2247,0.898
16.3692,0.884
16.3692,0.849
16.3692,0.817
13.9097,0.8
10.083,0.84
10.083,0.884
10.083,0.901
10.083,0.815
10.083,0.806
10.083,0.798
10.0593,0.79
9.9875,0.795
9.9875,0.785
9.9875,0.772
9.9875,0.738
9.9875,0.709
9.9875,0.698
9.9875,0.736
10.9325,0.745
14.2286,0.779
14.2286,0.812
14.2286,0.825
14.2286,0.824
14.2235,0.816
13.5305,0.815
13.5305,0.831
13.5305,0.818
13.5305,0.799
13.5305,0.787
13.7734,0.78
14.0031,0.799
14.0031,0.809
14.0031,0.833
14.0031,0.84
14.0697,0.838
14.2405,0.85
14.2405,0.853
14.2405,0.859
14.2405,0.839
14.0455,0.832
13.6041,0.83
13.6041,0.833
13.6041,0.833
13.6041,0.825
13.6041,0.825
17.8462,0.834
17.8925,0.835
17.8925,0.836
17.8925,0.828
16.3831,0.824
16.3261,0.832
16.3261,0.841
16.3261,0.827
16.4884,0.817
16.6303,0.822
16.6303,0.823
16.6303,0.807
16.4257,0.794
14.4345,0.807
14.4345,0.818
14.4345,0.847
14.4345,0.848
14.7113,0.837
17.5654,0.829
17.5654,0.839
17.5654,0.833
17.5654,0.817
18.0223,0.831
18.0354,0.83
18.0354,0.84
18.0354,0.821
19.392,0.823
19.4398,0.83
19.4398,0.834
18.7305,0.832
16.5469,0.836
16.5469,0.853
16.5469,0.867
16.5469,0.862
14.5254,0.878
14.5161,0.89
14.5161,0.883
14.5161,0.855
13.4709,0.834
10.2219,0.811
10.2219,0.782
10.2219,0.773
10.2219,0.743
10.2219,0.79
10.2219,0.857
10.2219,0.889
13.925,0.867
14.0214,0.899
14.0214,0.896
14.0214,0.871
14.1877,0.842
15.9129,0.835
15.9129,0.839
15.9129,0.83
15.9129,0.812
14.7552,0.808
13.7273,0.825
13.7273,0.838
13.7273,0.854
13.7273,0.842
13.7667,0.833
13.859,0.836
13.859,0.844
13.859,0.845
13.859,0.843
14.1642,0.831
16.0078,0.848
16.0078,0.844
16.0078,0.844
16.0078,0.85
15.9684,0.845
15.9524,0.86
15.9524,0.856
15.9524,0.847
15.6696,0.84
14.9747,0.846
14.9747,0.844
14.9747,0.847
14.9747,0.839
15.3221,0.835
15.6236,0.839
15.6236,0.832
15.6236,0.848
15.6236,0.852
14.9149,0.843
14.8959,0.847
14.8959,0.854
14.8959,0.878
15.2078,0.882
15.979,0.909
15.979,0.918
15.979,0.919
16.4494,0.903
18.8494,0.903
18.8494,0.888
18.8494,0.854
17.3124,0.866
16.0532,0.879
16.0532,0.91
16.0532,0.91
15.6212,0.929
14.9568,0.925
14.9568,0.931
14.9568,0.894
14.9568,0.887
14.6173,0.894
14.6142,0.888
14.6142,0.879
14.6142,0.875
15.2875,0.871
16.6157,0.866
16.6157,0.837
16.6157,0.82
16.5417,0.805
10.659,0.865
10.659,0.902
10.659,0.9
10.659,0.841
10.659,0.863
10.659,0.852
11.7766,0.828
12.8011,0.845
12.8011,0.853
12.8011,0.858
12.8011,0.842
12.8011,0.827
12.7144,0.821
12.7111,0.831
12.7111,0.84
12.7111,0.854
12.7111,0.826
12.973,0.821
13.5959,0.823
13.5959,0.832
13.5959,0.838
13.5959,0.826
13.5959,0.824
12.6868,0.817
12.6558,0.837
12.6558,0.85
12.6558,0.857
12.6558,0.847
12.588,0.84
12.4526,0.847
12.4526,0.85
12.4526,0.842
12.4526,0.835
12.4526,0.824
13.9106,0.814
14.9618,0.798
14.9618,0.791
14.9618,0.779
14.9618,0.787
14.3516,0.795
13.7871,0.8
13.7871,0.809
13.7871,0.81
13.7871,0.801
13.8504,0.806
14.3732,0.83
14.3732,0.847
14.3732,0.848
14.3732,0.835
