SpO2,rrvalues
85.2589,0.663
85.259,0.667
85.2576,0.675
85.2593,0.682
85.2597,0.684
85.2574,0.705
85.2586,0.709
85.2585,0.72
85.259,0.715
85.2588,0.69
85.2596,0.68
85.2592,0.689
85.2578,0.682
85.2591,0.68
85.2591,0.661
85.2583,0.658
85.2592,0.664
85.2589,0.662
85.2581,0.649
85.2593,0.636
85.2145,0.621
84.2547,0.617
84.2558,0.637
84.2547,0.64
84.2568,0.63
84.2561,0.639
84.2541,0.667
84.2552,0.667
84.2549,0.681
84.2544,0.691
84.2563,0.671
84.2557,0.667
84.2534,0.682
84.2545,0.673
84.256,0.655
84.2543,0.672
84.2563,0.654
84.2562,0.651
84.2544,0.665
84.2553,0.672
84.2544,0.672
84.2538,0.677
84.2561,0.661
84.2557,0.678
84.2533,0.675
85.1469,0.695
85.2594,0.68
85.2591,0.669
85.2582,0.672
85.2599,0.647
85.2585,0.669
85.2585,0.682
85.2592,0.688
85.2598,0.691
85.2581,0.684
85.2596,0.683
85.2584,0.687
85.2582,0.691
85.2589,0.68
85.2589,0.685
85.2575,0.668
85.2589,0.665
85.2593,0.657
85.2578,0.666
85.2584,0.677
85.2591,0.682
85.259,0.66
85.2601,0.686
85.0054,0.684
84.2538,0.696
84.2551,0.699
84.2548,0.716
84.2554,0.691
84.254,0.706
84.2556,0.7
84.2558,0.703
84.2535,0.694
83.5727,0.691
83.2515,0.681
83.2499,0.66
83.2514,0.647
83.4094,0.643
84.2551,0.635
84.2558,0.641
84.2549,0.68
84.2533,0.662
84.2556,0.648
84.2564,0.634
84.254,0.686
84.256,0.661
84.2567,0.68
84.255,0.683
84.2557,0.671
84.2543,0.675
84.2533,0.676
84.2552,0.654
84.256,0.634
84.2543,0.624
84.2559,0.601
84.2555,0.612
84.2565,0.648
84.2559,0.686
84.2536,0.657
84.2552,0.687
84.2546,0.672
84.254,0.674
84.2558,0.666
84.5554,0.641
85.2583,0.637
84.5239,0.645
84.2548,0.652
84.2535,0.655
84.2553,0.667
84.2555,0.669
84.2534,0.663
84.2562,0.651
84.3785,0.648
85.2584,0.637
85.2599,0.649
85.2593,0.657
85.2573,0.661
85.2591,0.649
85.2593,0.663
85.2576,0.637
85.2594,0.647
85.2574,0.656
84.3522,0.671
84.2554,0.648
84.2547,0.674
84.2554,0.641
84.2551,0.669
84.2541,0.664
85.1157,0.679
85.2587,0.689
85.2586,0.694
84.3052,0.689
84.256,0.689
84.2556,0.693
84.2533,0.701
84.2547,0.691
84.256,0.68
84.2542,0.674
84.2556,0.642
84.2554,0.67
84.2533,0.671
84.2549,0.699
84.2555,0.714
84.2539,0.707
84.2559,0.706
84.6978,0.73
85.2585,0.737
85.2576,0.698
85.259,0.676
85.1327,0.648
84.2539,0.631
84.2552,0.636
84.2548,0.651
84.2539,0.663
84.2545,0.671
84.2268,0.684
83.2513,0.666
83.7847,0.673
84.256,0.668
84.2542,0.664
83.7194,0.665
83.2506,0.662
83.2505,0.661
83.2512,0.68
83.2504,0.68
83.2485,0.679
83.2516,0.69
83.2512,0.687
83.2499,0.681
83.2514,0.657
83.2508,0.668
83.2499,0.656
83.2512,0.658
83.2505,0.669
83.2493,0.66
83.2514,0.685
83.2512,0.698
83.2498,0.708
83.2504,0.728
83.2502,0.746
83.2504,0.72
83.2494,0.737
83.2512,0.727
83.2505,0.707
83.2489,0.688
83.251,0.701
83.2513,0.688
83.2511,0.688
83.25,0.715
83.2513,0.742
83.2513,0.744
83.2491,0.733
83.2506,0.739
83.2512,0.738
83.2509,0.711
83.2496,0.718
83.2504,0.705
83.2505,0.693
83.25,0.681
83.2516,0.681
83.251,0.675
83.251,0.684
83.252,0.684
83.2503,0.674
83.2498,0.673
83.251,0.664
83.2516,0.66
83.2497,0.671
83.2501,0.674
83.2505,0.684
83.2512,0.682
83.2491,0.699
83.2507,0.699
83.2508,0.714
83.2503,0.726
83.2507,0.724
83.251,0.704
83.2504,0.684
83.2514,0.681
83.2508,0.685
83.2502,0.682
83.2501,0.691
83.2508,0.676
83.2505,0.695
83.2497,0.712
83.2504,0.725
83.2513,0.743
83.2508,0.75
83.2492,0.722
83.2503,0.715
83.2509,0.668
83.2496,0.676
83.2504,0.684
83.0505,0.687
82.2457,0.673
82.2464,0.708
82.247,0.7
82.2455,0.703
82.2467,0.739
82.2461,0.773
82.2463,0.753
82.2448,0.749
83.1644,0.747
82.6812,0.735
82.2469,0.734
82.2456,0.722
82.2467,0.71
82.2469,0.691
82.2464,0.691
82.2458,0.682
82.2466,0.683
82.3096,0.714
83.2482,0.74
83.2511,0.775
83.2509,0.747
83.2507,0.763
83.2501,0.738
83.2514,0.74
83.2509,0.723
83.2511,0.71
83.2498,0.695
83.2519,0.685
83.2513,0.689
83.249,0.668
83.2506,0.656
83.2511,0.648
83.2492,0.642
83.2512,0.659
83.2521,0.681
83.25,0.72
83.2511,0.738
83.2514,0.771
83.2503,0.733
83.2496,0.715
83.2503,0.684
83.2506,0.683
83.2509,0.682
83.2517,0.652
83.2508,0.663
83.2493,0.668
83.2509,0.67
83.2503,0.687
83.2499,0.656
83.2509,0.67
83.2515,0.662
83.2496,0.678
83.2499,0.679
83.2505,0.689
83.2511,0.669
83.2521,0.662
83.2518,0.675
83.2492,0.657
83.2507,0.668
83.0654,0.688
82.2448,0.678
82.2466,0.682
82.2477,0.672
82.2445,0.701
82.2457,0.69
82.2457,0.704
82.2458,0.724
82.2448,0.698
82.247,0.694
82.2465,0.711
82.2456,0.682
82.2455,0.681
82.2459,0.684
82.2445,0.666
82.2473,0.659
82.2471,0.67
82.245,0.709
82.2462,0.726
82.664,0.755
83.2504,0.738
83.2497,0.726
83.2505,0.731
83.251,0.717
83.249,0.702
83.25,0.692
83.2505,0.68
83.251,0.677
83.2498,0.655
83.2512,0.641
83.2493,0.661
82.3407,0.696
82.2463,0.682
82.2468,0.701
82.2458,0.691
82.2464,0.722
82.2461,0.715
82.2452,0.699
82.2463,0.696
82.2461,0.671
82.2452,0.66
82.2465,0.637
82.2468,0.671
82.2453,0.669
82.2459,0.704
82.2462,0.716
82.2464,0.706
82.2451,0.739
82.2454,0.736
82.2454,0.723
82.2448,0.711
82.2462,0.695
82.2467,0.668
82.2452,0.667
82.247,0.678
82.6339,0.667
83.2499,0.674
83.251,0.684
82.8204,0.674
82.246,0.642
82.2468,0.643
82.2461,0.7
82.2459,0.709
82.2464,0.717
82.2473,0.72
82.2464,0.735
82.2446,0.741
82.2454,0.71
82.2463,0.697
82.2457,0.683
82.2461,0.647
82.2477,0.641
82.2452,0.655
82.2468,0.685
82.2463,0.717
82.2471,0.73
82.2459,0.756
82.2459,0.774
82.2457,0.783
82.246,0.782
82.2455,0.742
82.2456,0.711
82.2473,0.71
82.2475,0.708
82.2458,0.67
82.2461,0.674
82.2464,0.667
82.2455,0.682
82.2467,0.688
82.2459,0.725
82.2454,0.754
82.2472,0.769
82.2462,0.765
82.2459,0.741
82.2439,0.748
82.2449,0.714
82.2447,0.673
82.2449,0.664
82.2461,0.64
82.247,0.614
82.2443,0.63
82.2459,0.627
82.2453,0.661
82.2443,0.689
82.2454,0.716
82.2454,0.737
82.2459,0.762
82.2458,0.744
82.2471,0.719
82.2457,0.702
82.246,0.687
82.2466,0.655
82.2459,0.638
82.2438,0.637
82.247,0.659
82.2475,0.67
82.2446,0.687
82.2454,0.724
82.2449,0.743
82.246,0.75
82.2452,0.736
82.2469,0.73
82.2463,0.73
82.2451,0.707
82.2463,0.695
82.2461,0.682
82.2347,0.666
81.2468,0.645
81.2422,0.649
81.2412,0.65
81.2413,0.696
81.7377,0.702
82.2472,0.682
82.2449,0.693
82.2455,0.721
82.2454,0.711
82.2445,0.714
82.2453,0.695
82.2466,0.695
82.2456,0.666
82.246,0.668
82.2461,0.666
82.2444,0.697
82.2453,0.697
82.2449,0.705
82.2456,0.692
82.245,0.693
82.2464,0.692
82.2459,0.705
82.2444,0.711
82.2461,0.715
82.6232,0.693
83.2513,0.709
83.2499,0.718
83.2511,0.705
83.2509,0.681
83.2498,0.652
83.2514,0.625
83.2513,0.632
83.2495,0.63
82.8418,0.655
82.2453,0.656
82.2457,0.672
82.246,0.709
82.246,0.719
82.2451,0.707
82.246,0.696
82.246,0.696
82.246,0.67
82.2466,0.653
82.0845,0.66
81.2406,0.677
81.2416,0.68
81.4361,0.666
82.2451,0.666
82.2472,0.662
82.2474,0.676
82.2453,0.689
82.246,0.685
82.2469,0.729
82.2463,0.729
82.2444,0.719
82.2454,0.737
82.2468,0.698
82.2455,0.706
82.9987,0.69
83.2505,0.673
83.2493,0.664
83.2515,0.653
83.5024,0.658
84.2548,0.695
84.2571,0.654
83.9704,0.679
83.2499,0.7
83.2504,0.708
83.2507,0.688
83.2512,0.691
83.2498,0.676
83.2509,0.673
83.2523,0.655
83.2506,0.659
